Pavarde     Vardas      Galutinis (Vid.)    
Pavarde199  Vardas199   4.48                
Pavarde203  Vardas203   2.60                
Pavarde204  Vardas204   3.64                
Pavarde205  Vardas205   4.36                
Pavarde209  Vardas209   3.44                
Pavarde210  Vardas210   3.04                
Pavarde212  Vardas212   4.28                
Pavarde214  Vardas214   4.00                
Pavarde216  Vardas216   4.36                
Pavarde218  Vardas218   3.08                
Pavarde220  Vardas220   3.64                
Pavarde228  Vardas228   1.56                
Pavarde230  Vardas230   3.12                
Pavarde231  Vardas231   4.92                
Pavarde232  Vardas232   2.88                
Pavarde233  Vardas233   3.48                
Pavarde236  Vardas236   2.72                
Pavarde237  Vardas237   3.32                
Pavarde238  Vardas238   4.96                
Pavarde241  Vardas241   4.96                
Pavarde242  Vardas242   4.72                
Pavarde247  Vardas247   3.24                
Pavarde249  Vardas249   2.96                
Pavarde250  Vardas250   4.12                
Pavarde251  Vardas251   4.48                
Pavarde253  Vardas253   2.84                
Pavarde256  Vardas256   4.24                
Pavarde257  Vardas257   3.28                
Pavarde258  Vardas258   4.64                
Pavarde263  Vardas263   4.00                
Pavarde266  Vardas266   2.76                
Pavarde267  Vardas267   4.48                
Pavarde268  Vardas268   4.96                
Pavarde275  Vardas275   4.00                
Pavarde276  Vardas276   4.72                
Pavarde278  Vardas278   4.92                
Pavarde282  Vardas282   2.12                
Pavarde283  Vardas283   3.72                
Pavarde284  Vardas284   2.60                
Pavarde285  Vardas285   2.20                
Pavarde286  Vardas286   2.68                
Pavarde289  Vardas289   3.72                
Pavarde290  Vardas290   3.92                
Pavarde291  Vardas291   3.24                
Pavarde292  Vardas292   3.32                
Pavarde294  Vardas294   3.20                
Pavarde298  Vardas298   2.84                
Pavarde301  Vardas301   4.76                
Pavarde302  Vardas302   4.72                
Pavarde305  Vardas305   4.04                
Pavarde308  Vardas308   2.60                
Pavarde310  Vardas310   4.88                
Pavarde311  Vardas311   4.96                
Pavarde314  Vardas314   2.20                
Pavarde316  Vardas316   2.44                
Pavarde318  Vardas318   3.16                
Pavarde319  Vardas319   4.36                
Pavarde323  Vardas323   1.88                
Pavarde326  Vardas326   2.40                
Pavarde327  Vardas327   3.20                
Pavarde330  Vardas330   2.56                
Pavarde334  Vardas334   4.56                
Pavarde337  Vardas337   3.44                
Pavarde338  Vardas338   3.20                
Pavarde339  Vardas339   4.64                
Pavarde340  Vardas340   3.56                
Pavarde341  Vardas341   4.60                
Pavarde343  Vardas343   3.60                
Pavarde344  Vardas344   2.84                
Pavarde346  Vardas346   4.40                
Pavarde348  Vardas348   3.52                
Pavarde351  Vardas351   4.96                
Pavarde352  Vardas352   2.56                
Pavarde355  Vardas355   4.80                
Pavarde356  Vardas356   4.44                
Pavarde361  Vardas361   3.60                
Pavarde364  Vardas364   3.00                
Pavarde365  Vardas365   3.08                
Pavarde366  Vardas366   4.00                
Pavarde370  Vardas370   4.52                
Pavarde371  Vardas371   3.84                
Pavarde373  Vardas373   3.96                
Pavarde374  Vardas374   3.04                
Pavarde375  Vardas375   3.72                
Pavarde377  Vardas377   3.52                
Pavarde379  Vardas379   2.68                
Pavarde381  Vardas381   2.52                
Pavarde387  Vardas387   3.60                
Pavarde392  Vardas392   2.28                
Pavarde394  Vardas394   4.92                
Pavarde400  Vardas400   3.08                
Pavarde401  Vardas401   3.04                
Pavarde402  Vardas402   3.84                
Pavarde404  Vardas404   3.76                
Pavarde411  Vardas411   4.80                
Pavarde412  Vardas412   3.92                
Pavarde414  Vardas414   3.08                
Pavarde418  Vardas418   4.08                
Pavarde421  Vardas421   3.92                
Pavarde423  Vardas423   4.48                
Pavarde427  Vardas427   4.00                
Pavarde429  Vardas429   4.72                
Pavarde430  Vardas430   3.36                
Pavarde437  Vardas437   3.76                
Pavarde439  Vardas439   3.24                
Pavarde440  Vardas440   4.24                
Pavarde442  Vardas442   4.60                
Pavarde443  Vardas443   4.60                
Pavarde444  Vardas444   1.96                
Pavarde445  Vardas445   3.80                
Pavarde452  Vardas452   4.28                
Pavarde453  Vardas453   2.68                
Pavarde454  Vardas454   4.40                
Pavarde455  Vardas455   3.32                
Pavarde458  Vardas458   3.16                
Pavarde463  Vardas463   3.16                
Pavarde468  Vardas468   3.28                
Pavarde470  Vardas470   3.00                
Pavarde471  Vardas471   4.08                
Pavarde472  Vardas472   3.88                
Pavarde473  Vardas473   4.20                
Pavarde476  Vardas476   2.60                
Pavarde480  Vardas480   3.64                
Pavarde481  Vardas481   4.12                
Pavarde483  Vardas483   4.20                
Pavarde485  Vardas485   2.12                
Pavarde486  Vardas486   3.52                
Pavarde487  Vardas487   3.88                
Pavarde490  Vardas490   4.36                
Pavarde491  Vardas491   4.24                
Pavarde498  Vardas498   4.96                
Pavarde501  Vardas501   4.56                
Pavarde502  Vardas502   3.92                
Pavarde503  Vardas503   4.96                
Pavarde504  Vardas504   2.80                
Pavarde505  Vardas505   3.52                
Pavarde507  Vardas507   4.28                
Pavarde508  Vardas508   4.72                
Pavarde509  Vardas509   2.04                
Pavarde514  Vardas514   2.88                
Pavarde516  Vardas516   4.12                
Pavarde517  Vardas517   2.64                
Pavarde520  Vardas520   4.84                
Pavarde524  Vardas524   2.68                
Pavarde526  Vardas526   4.92                
Pavarde528  Vardas528   3.12                
Pavarde529  Vardas529   3.36                
Pavarde534  Vardas534   4.56                
Pavarde536  Vardas536   4.84                
Pavarde540  Vardas540   2.68                
Pavarde541  Vardas541   3.60                
Pavarde542  Vardas542   3.64                
Pavarde543  Vardas543   4.96                
Pavarde544  Vardas544   3.72                
Pavarde549  Vardas549   4.72                
Pavarde550  Vardas550   3.28                
Pavarde552  Vardas552   2.44                
Pavarde553  Vardas553   3.16                
Pavarde554  Vardas554   4.96                
Pavarde555  Vardas555   3.92                
Pavarde557  Vardas557   3.16                
Pavarde559  Vardas559   2.48                
Pavarde560  Vardas560   4.40                
Pavarde561  Vardas561   4.12                
Pavarde563  Vardas563   3.48                
Pavarde568  Vardas568   4.16                
Pavarde569  Vardas569   3.40                
Pavarde571  Vardas571   3.68                
Pavarde574  Vardas574   3.36                
Pavarde575  Vardas575   3.80                
Pavarde579  Vardas579   4.12                
Pavarde585  Vardas585   2.36                
Pavarde589  Vardas589   3.12                
Pavarde590  Vardas590   3.88                
Pavarde592  Vardas592   4.48                
Pavarde597  Vardas597   3.12                
Pavarde612  Vardas612   2.12                
Pavarde614  Vardas614   2.28                
Pavarde615  Vardas615   3.92                
Pavarde616  Vardas616   4.64                
Pavarde617  Vardas617   3.12                
Pavarde619  Vardas619   4.60                
Pavarde621  Vardas621   2.04                
Pavarde623  Vardas623   3.64                
Pavarde630  Vardas630   2.76                
Pavarde631  Vardas631   3.56                
Pavarde635  Vardas635   4.48                
Pavarde636  Vardas636   4.40                
Pavarde638  Vardas638   3.16                
Pavarde639  Vardas639   2.60                
Pavarde640  Vardas640   3.48                
Pavarde641  Vardas641   3.36                
Pavarde642  Vardas642   3.28                
Pavarde643  Vardas643   3.52                
Pavarde644  Vardas644   4.80                
Pavarde649  Vardas649   3.92                
Pavarde652  Vardas652   3.72                
Pavarde656  Vardas656   4.84                
Pavarde659  Vardas659   3.08                
Pavarde660  Vardas660   3.72                
Pavarde661  Vardas661   2.64                
Pavarde662  Vardas662   4.80                
Pavarde663  Vardas663   4.00                
Pavarde664  Vardas664   2.12                
Pavarde665  Vardas665   3.12                
Pavarde666  Vardas666   3.76                
Pavarde667  Vardas667   4.76                
Pavarde668  Vardas668   3.92                
Pavarde670  Vardas670   3.84                
Pavarde672  Vardas672   4.92                
Pavarde675  Vardas675   2.64                
Pavarde676  Vardas676   3.32                
Pavarde677  Vardas677   2.72                
Pavarde678  Vardas678   3.64                
Pavarde679  Vardas679   2.04                
Pavarde680  Vardas680   2.60                
Pavarde681  Vardas681   2.52                
Pavarde685  Vardas685   3.72                
Pavarde691  Vardas691   3.44                
Pavarde693  Vardas693   3.00                
Pavarde694  Vardas694   4.80                
Pavarde698  Vardas698   3.80                
Pavarde701  Vardas701   4.60                
Pavarde702  Vardas702   3.72                
Pavarde705  Vardas705   3.60                
Pavarde707  Vardas707   3.36                
Pavarde709  Vardas709   4.68                
Pavarde711  Vardas711   4.80                
Pavarde716  Vardas716   3.40                
Pavarde717  Vardas717   4.48                
Pavarde720  Vardas720   4.12                
Pavarde725  Vardas725   2.52                
Pavarde727  Vardas727   4.56                
Pavarde730  Vardas730   3.56                
Pavarde733  Vardas733   4.16                
Pavarde734  Vardas734   4.60                
Pavarde737  Vardas737   3.16                
Pavarde740  Vardas740   3.16                
Pavarde741  Vardas741   2.52                
Pavarde744  Vardas744   4.52                
Pavarde745  Vardas745   4.76                
Pavarde748  Vardas748   3.64                
Pavarde760  Vardas760   4.80                
Pavarde761  Vardas761   4.12                
Pavarde765  Vardas765   3.68                
Pavarde767  Vardas767   3.76                
Pavarde772  Vardas772   2.44                
Pavarde773  Vardas773   2.88                
Pavarde776  Vardas776   4.56                
Pavarde783  Vardas783   3.28                
Pavarde784  Vardas784   3.76                
Pavarde787  Vardas787   4.52                
Pavarde790  Vardas790   3.76                
Pavarde792  Vardas792   4.28                
Pavarde794  Vardas794   3.88                
Pavarde795  Vardas795   4.84                
Pavarde798  Vardas798   3.28                
Pavarde801  Vardas801   4.04                
Pavarde804  Vardas804   4.84                
Pavarde805  Vardas805   4.40                
Pavarde809  Vardas809   2.44                
Pavarde811  Vardas811   3.60                
Pavarde814  Vardas814   2.84                
Pavarde818  Vardas818   4.04                
Pavarde819  Vardas819   3.64                
Pavarde821  Vardas821   4.56                
Pavarde822  Vardas822   4.16                
Pavarde823  Vardas823   4.08                
Pavarde824  Vardas824   3.84                
Pavarde825  Vardas825   2.84                
Pavarde826  Vardas826   3.96                
Pavarde827  Vardas827   4.28                
Pavarde829  Vardas829   4.12                
Pavarde830  Vardas830   2.56                
Pavarde832  Vardas832   4.00                
Pavarde833  Vardas833   4.16                
Pavarde835  Vardas835   3.36                
Pavarde837  Vardas837   3.68                
Pavarde838  Vardas838   2.48                
Pavarde848  Vardas848   4.88                
Pavarde849  Vardas849   4.56                
Pavarde850  Vardas850   3.72                
Pavarde851  Vardas851   2.52                
Pavarde853  Vardas853   4.04                
Pavarde854  Vardas854   2.32                
Pavarde855  Vardas855   4.88                
Pavarde856  Vardas856   4.72                
Pavarde858  Vardas858   4.72                
Pavarde862  Vardas862   4.40                
Pavarde864  Vardas864   2.36                
Pavarde866  Vardas866   4.28                
Pavarde868  Vardas868   4.68                
Pavarde871  Vardas871   2.36                
Pavarde872  Vardas872   4.64                
Pavarde878  Vardas878   3.36                
Pavarde880  Vardas880   3.28                
Pavarde882  Vardas882   3.76                
Pavarde887  Vardas887   4.76                
Pavarde889  Vardas889   4.36                
Pavarde892  Vardas892   2.72                
Pavarde893  Vardas893   3.52                
Pavarde894  Vardas894   3.76                
Pavarde899  Vardas899   4.48                
Pavarde900  Vardas900   4.36                
Pavarde904  Vardas904   3.76                
Pavarde906  Vardas906   4.84                
Pavarde909  Vardas909   4.68                
Pavarde914  Vardas914   4.44                
Pavarde915  Vardas915   4.20                
Pavarde919  Vardas919   2.92                
Pavarde921  Vardas921   3.48                
Pavarde922  Vardas922   4.48                
Pavarde924  Vardas924   2.52                
Pavarde925  Vardas925   2.60                
Pavarde927  Vardas927   3.36                
Pavarde930  Vardas930   4.04                
Pavarde942  Vardas942   3.32                
Pavarde943  Vardas943   3.96                
Pavarde944  Vardas944   4.16                
Pavarde945  Vardas945   3.76                
Pavarde950  Vardas950   4.92                
Pavarde953  Vardas953   3.40                
Pavarde955  Vardas955   4.32                
Pavarde958  Vardas958   3.28                
Pavarde960  Vardas960   2.36                
Pavarde962  Vardas962   2.36                
Pavarde963  Vardas963   3.20                
Pavarde967  Vardas967   4.76                
Pavarde968  Vardas968   2.04                
Pavarde969  Vardas969   4.52                
Pavarde970  Vardas970   4.44                
Pavarde974  Vardas974   3.92                
Pavarde975  Vardas975   3.44                
Pavarde977  Vardas977   4.72                
Pavarde983  Vardas983   4.88                
Pavarde984  Vardas984   4.64                
Pavarde985  Vardas985   2.08                
Pavarde990  Vardas990   4.56                
Pavarde991  Vardas991   3.20                
Pavarde994  Vardas994   3.00                
Pavarde995  Vardas995   3.60                
Pavarde996  Vardas996   4.60                
Pavarde1000 Vardas1000  4.84                
