Pavarde     Vardas      Galutinis (Vid.)    
Pavarde99   Vardas99    8.32                
Pavarde103  Vardas103   6.00                
Pavarde106  Vardas106   5.44                
Pavarde107  Vardas107   8.88                
Pavarde110  Vardas110   6.76                
Pavarde111  Vardas111   6.64                
Pavarde114  Vardas114   8.72                
Pavarde115  Vardas115   5.60                
Pavarde117  Vardas117   6.40                
Pavarde119  Vardas119   6.88                
Pavarde122  Vardas122   7.96                
Pavarde123  Vardas123   7.28                
Pavarde124  Vardas124   5.96                
Pavarde126  Vardas126   6.12                
Pavarde129  Vardas129   5.36                
Pavarde134  Vardas134   8.56                
Pavarde137  Vardas137   5.16                
Pavarde139  Vardas139   5.28                
Pavarde141  Vardas141   7.80                
Pavarde142  Vardas142   5.28                
Pavarde143  Vardas143   6.28                
Pavarde145  Vardas145   6.24                
Pavarde147  Vardas147   7.44                
Pavarde149  Vardas149   6.16                
Pavarde150  Vardas150   5.76                
Pavarde151  Vardas151   6.16                
Pavarde152  Vardas152   7.44                
Pavarde153  Vardas153   6.28                
Pavarde154  Vardas154   7.92                
Pavarde155  Vardas155   7.64                
Pavarde157  Vardas157   6.64                
Pavarde159  Vardas159   6.44                
Pavarde162  Vardas162   5.76                
Pavarde164  Vardas164   5.16                
Pavarde166  Vardas166   5.00                
Pavarde167  Vardas167   7.40                
Pavarde169  Vardas169   7.44                
Pavarde170  Vardas170   5.00                
Pavarde172  Vardas172   6.32                
Pavarde174  Vardas174   5.84                
Pavarde175  Vardas175   5.40                
Pavarde182  Vardas182   8.04                
Pavarde186  Vardas186   5.08                
Pavarde188  Vardas188   7.80                
Pavarde189  Vardas189   6.32                
Pavarde192  Vardas192   5.60                
Pavarde193  Vardas193   6.28                
Pavarde194  Vardas194   7.84                
Pavarde195  Vardas195   6.68                
Pavarde196  Vardas196   6.28                
Pavarde198  Vardas198   6.80                
Pavarde200  Vardas200   6.44                
Pavarde201  Vardas201   7.72                
Pavarde202  Vardas202   5.60                
Pavarde206  Vardas206   6.36                
Pavarde207  Vardas207   6.96                
Pavarde208  Vardas208   5.24                
Pavarde211  Vardas211   7.56                
Pavarde213  Vardas213   7.16                
Pavarde215  Vardas215   8.80                
Pavarde217  Vardas217   5.12                
Pavarde219  Vardas219   6.60                
Pavarde221  Vardas221   5.32                
Pavarde222  Vardas222   6.72                
Pavarde223  Vardas223   6.76                
Pavarde224  Vardas224   7.92                
Pavarde225  Vardas225   8.08                
Pavarde226  Vardas226   5.24                
Pavarde227  Vardas227   6.68                
Pavarde229  Vardas229   6.00                
Pavarde234  Vardas234   6.00                
Pavarde235  Vardas235   5.44                
Pavarde239  Vardas239   8.72                
Pavarde240  Vardas240   8.16                
Pavarde243  Vardas243   7.16                
Pavarde244  Vardas244   7.40                
Pavarde245  Vardas245   7.40                
Pavarde246  Vardas246   6.28                
Pavarde248  Vardas248   6.52                
Pavarde252  Vardas252   7.84                
Pavarde254  Vardas254   5.80                
Pavarde255  Vardas255   5.88                
Pavarde259  Vardas259   7.08                
Pavarde260  Vardas260   7.64                
Pavarde261  Vardas261   8.56                
Pavarde262  Vardas262   6.96                
Pavarde264  Vardas264   6.28                
Pavarde265  Vardas265   8.24                
Pavarde269  Vardas269   5.72                
Pavarde270  Vardas270   7.40                
Pavarde271  Vardas271   8.16                
Pavarde272  Vardas272   7.92                
Pavarde273  Vardas273   8.96                
Pavarde274  Vardas274   6.16                
Pavarde277  Vardas277   8.44                
Pavarde279  Vardas279   6.88                
Pavarde280  Vardas280   7.48                
Pavarde281  Vardas281   7.52                
Pavarde287  Vardas287   5.76                
Pavarde288  Vardas288   7.84                
Pavarde293  Vardas293   6.80                
Pavarde295  Vardas295   8.36                
Pavarde296  Vardas296   5.64                
Pavarde297  Vardas297   7.68                
Pavarde299  Vardas299   6.56                
Pavarde300  Vardas300   5.32                
Pavarde303  Vardas303   8.32                
Pavarde304  Vardas304   6.24                
Pavarde306  Vardas306   7.76                
Pavarde307  Vardas307   5.44                
Pavarde309  Vardas309   5.48                
Pavarde312  Vardas312   7.96                
Pavarde313  Vardas313   5.28                
Pavarde315  Vardas315   6.76                
Pavarde317  Vardas317   5.00                
Pavarde320  Vardas320   7.44                
Pavarde321  Vardas321   8.16                
Pavarde322  Vardas322   6.76                
Pavarde324  Vardas324   6.64                
Pavarde325  Vardas325   5.76                
Pavarde328  Vardas328   5.16                
Pavarde329  Vardas329   7.56                
Pavarde331  Vardas331   6.00                
Pavarde332  Vardas332   7.68                
Pavarde333  Vardas333   5.80                
Pavarde335  Vardas335   7.04                
Pavarde336  Vardas336   6.56                
Pavarde342  Vardas342   8.08                
Pavarde345  Vardas345   6.68                
Pavarde347  Vardas347   7.76                
Pavarde349  Vardas349   7.00                
Pavarde350  Vardas350   7.92                
Pavarde353  Vardas353   5.36                
Pavarde354  Vardas354   8.16                
Pavarde357  Vardas357   8.04                
Pavarde358  Vardas358   5.48                
Pavarde359  Vardas359   6.28                
Pavarde360  Vardas360   6.28                
Pavarde362  Vardas362   5.08                
Pavarde363  Vardas363   8.08                
Pavarde367  Vardas367   7.12                
Pavarde368  Vardas368   8.64                
Pavarde369  Vardas369   7.80                
Pavarde372  Vardas372   8.80                
Pavarde376  Vardas376   7.28                
Pavarde378  Vardas378   7.40                
Pavarde380  Vardas380   6.08                
Pavarde382  Vardas382   5.68                
Pavarde383  Vardas383   6.20                
Pavarde384  Vardas384   6.80                
Pavarde385  Vardas385   7.40                
Pavarde386  Vardas386   5.48                
Pavarde388  Vardas388   6.56                
Pavarde389  Vardas389   6.52                
Pavarde390  Vardas390   7.28                
Pavarde391  Vardas391   7.44                
Pavarde393  Vardas393   8.00                
Pavarde395  Vardas395   6.04                
Pavarde396  Vardas396   6.80                
Pavarde397  Vardas397   5.28                
Pavarde398  Vardas398   6.00                
Pavarde399  Vardas399   6.00                
Pavarde403  Vardas403   8.32                
Pavarde405  Vardas405   5.00                
Pavarde406  Vardas406   8.04                
Pavarde407  Vardas407   6.64                
Pavarde408  Vardas408   6.92                
Pavarde409  Vardas409   7.36                
Pavarde410  Vardas410   5.12                
Pavarde413  Vardas413   8.04                
Pavarde415  Vardas415   6.12                
Pavarde416  Vardas416   7.92                
Pavarde417  Vardas417   7.36                
Pavarde419  Vardas419   6.32                
Pavarde420  Vardas420   7.24                
Pavarde422  Vardas422   7.16                
Pavarde424  Vardas424   7.12                
Pavarde425  Vardas425   7.36                
Pavarde426  Vardas426   8.16                
Pavarde428  Vardas428   6.44                
Pavarde431  Vardas431   9.12                
Pavarde432  Vardas432   5.44                
Pavarde433  Vardas433   5.76                
Pavarde434  Vardas434   6.68                
Pavarde435  Vardas435   8.44                
Pavarde436  Vardas436   8.16                
Pavarde438  Vardas438   7.32                
Pavarde441  Vardas441   7.72                
Pavarde446  Vardas446   7.28                
Pavarde447  Vardas447   5.56                
Pavarde448  Vardas448   5.56                
Pavarde449  Vardas449   5.68                
Pavarde450  Vardas450   5.68                
Pavarde451  Vardas451   6.28                
Pavarde456  Vardas456   5.52                
Pavarde457  Vardas457   7.04                
Pavarde459  Vardas459   8.36                
Pavarde460  Vardas460   8.80                
Pavarde461  Vardas461   6.44                
Pavarde462  Vardas462   7.40                
Pavarde464  Vardas464   6.76                
Pavarde465  Vardas465   8.24                
Pavarde466  Vardas466   5.36                
Pavarde467  Vardas467   8.88                
Pavarde469  Vardas469   5.68                
Pavarde474  Vardas474   7.08                
Pavarde475  Vardas475   5.36                
Pavarde477  Vardas477   5.52                
Pavarde478  Vardas478   5.56                
Pavarde479  Vardas479   7.08                
Pavarde482  Vardas482   5.92                
Pavarde484  Vardas484   6.60                
Pavarde488  Vardas488   5.84                
Pavarde489  Vardas489   7.76                
Pavarde492  Vardas492   6.04                
Pavarde493  Vardas493   8.72                
Pavarde494  Vardas494   8.08                
Pavarde495  Vardas495   7.48                
Pavarde496  Vardas496   7.20                
Pavarde497  Vardas497   5.68                
Pavarde499  Vardas499   5.52                
Pavarde500  Vardas500   8.64                
Pavarde506  Vardas506   6.68                
Pavarde510  Vardas510   6.80                
Pavarde511  Vardas511   5.08                
Pavarde512  Vardas512   6.92                
Pavarde513  Vardas513   6.60                
Pavarde515  Vardas515   5.52                
Pavarde518  Vardas518   5.56                
Pavarde519  Vardas519   7.72                
Pavarde521  Vardas521   7.56                
Pavarde522  Vardas522   5.12                
Pavarde523  Vardas523   7.44                
Pavarde525  Vardas525   5.44                
Pavarde527  Vardas527   6.92                
Pavarde530  Vardas530   5.24                
Pavarde531  Vardas531   6.84                
Pavarde532  Vardas532   6.32                
Pavarde533  Vardas533   5.88                
Pavarde535  Vardas535   6.56                
Pavarde537  Vardas537   6.52                
Pavarde538  Vardas538   7.16                
Pavarde539  Vardas539   5.20                
Pavarde545  Vardas545   5.76                
Pavarde546  Vardas546   6.64                
Pavarde547  Vardas547   5.80                
Pavarde548  Vardas548   5.16                
Pavarde551  Vardas551   8.48                
Pavarde556  Vardas556   6.80                
Pavarde558  Vardas558   8.40                
Pavarde562  Vardas562   8.56                
Pavarde564  Vardas564   7.92                
Pavarde565  Vardas565   6.44                
Pavarde566  Vardas566   6.68                
Pavarde567  Vardas567   5.84                
Pavarde570  Vardas570   6.52                
Pavarde572  Vardas572   6.52                
Pavarde573  Vardas573   7.88                
Pavarde576  Vardas576   5.80                
Pavarde577  Vardas577   8.52                
Pavarde578  Vardas578   6.96                
Pavarde580  Vardas580   8.24                
Pavarde581  Vardas581   6.80                
Pavarde582  Vardas582   8.80                
Pavarde583  Vardas583   6.88                
Pavarde584  Vardas584   7.36                
Pavarde586  Vardas586   7.96                
Pavarde587  Vardas587   8.48                
Pavarde588  Vardas588   6.24                
Pavarde591  Vardas591   6.56                
Pavarde593  Vardas593   6.00                
Pavarde594  Vardas594   5.68                
Pavarde595  Vardas595   5.60                
Pavarde596  Vardas596   8.00                
Pavarde598  Vardas598   6.60                
Pavarde599  Vardas599   7.36                
Pavarde600  Vardas600   9.12                
Pavarde601  Vardas601   5.60                
Pavarde602  Vardas602   8.32                
Pavarde603  Vardas603   7.16                
Pavarde604  Vardas604   8.64                
Pavarde605  Vardas605   7.64                
Pavarde606  Vardas606   7.96                
Pavarde607  Vardas607   7.80                
Pavarde608  Vardas608   6.84                
Pavarde609  Vardas609   5.64                
Pavarde610  Vardas610   6.88                
Pavarde611  Vardas611   7.76                
Pavarde613  Vardas613   5.56                
Pavarde618  Vardas618   8.08                
Pavarde620  Vardas620   6.72                
Pavarde622  Vardas622   6.56                
Pavarde624  Vardas624   5.04                
Pavarde625  Vardas625   6.28                
Pavarde626  Vardas626   5.80                
Pavarde627  Vardas627   8.04                
Pavarde628  Vardas628   5.32                
Pavarde629  Vardas629   7.68                
Pavarde632  Vardas632   6.60                
Pavarde633  Vardas633   8.56                
Pavarde634  Vardas634   5.96                
Pavarde637  Vardas637   8.44                
Pavarde645  Vardas645   6.60                
Pavarde646  Vardas646   6.92                
Pavarde647  Vardas647   6.36                
Pavarde648  Vardas648   8.80                
Pavarde650  Vardas650   7.20                
Pavarde651  Vardas651   6.52                
Pavarde653  Vardas653   5.44                
Pavarde654  Vardas654   6.60                
Pavarde655  Vardas655   8.64                
Pavarde657  Vardas657   8.00                
Pavarde658  Vardas658   7.16                
Pavarde669  Vardas669   6.04                
Pavarde671  Vardas671   7.28                
Pavarde673  Vardas673   7.96                
Pavarde674  Vardas674   5.40                
Pavarde682  Vardas682   8.12                
Pavarde683  Vardas683   7.92                
Pavarde684  Vardas684   7.32                
Pavarde686  Vardas686   7.48                
Pavarde687  Vardas687   5.00                
Pavarde688  Vardas688   6.48                
Pavarde689  Vardas689   8.24                
Pavarde690  Vardas690   7.48                
Pavarde692  Vardas692   5.08                
Pavarde695  Vardas695   7.16                
Pavarde696  Vardas696   5.88                
Pavarde697  Vardas697   6.76                
Pavarde699  Vardas699   5.60                
Pavarde700  Vardas700   8.72                
Pavarde703  Vardas703   7.32                
Pavarde704  Vardas704   8.40                
Pavarde706  Vardas706   6.36                
Pavarde708  Vardas708   7.56                
Pavarde710  Vardas710   7.68                
Pavarde712  Vardas712   5.20                
Pavarde713  Vardas713   8.64                
Pavarde714  Vardas714   5.20                
Pavarde715  Vardas715   5.48                
Pavarde718  Vardas718   6.88                
Pavarde719  Vardas719   6.00                
Pavarde721  Vardas721   7.12                
Pavarde722  Vardas722   9.40                
Pavarde723  Vardas723   8.16                
Pavarde724  Vardas724   5.96                
Pavarde726  Vardas726   6.08                
Pavarde728  Vardas728   6.72                
Pavarde729  Vardas729   5.80                
Pavarde731  Vardas731   5.64                
Pavarde732  Vardas732   6.16                
Pavarde735  Vardas735   5.60                
Pavarde736  Vardas736   7.20                
Pavarde738  Vardas738   6.08                
Pavarde739  Vardas739   5.12                
Pavarde742  Vardas742   8.00                
Pavarde743  Vardas743   8.80                
Pavarde746  Vardas746   8.08                
Pavarde747  Vardas747   6.44                
Pavarde749  Vardas749   7.64                
Pavarde750  Vardas750   8.48                
Pavarde751  Vardas751   5.32                
Pavarde752  Vardas752   5.04                
Pavarde753  Vardas753   5.36                
Pavarde754  Vardas754   8.64                
Pavarde755  Vardas755   6.72                
Pavarde756  Vardas756   7.08                
Pavarde757  Vardas757   7.64                
Pavarde758  Vardas758   6.48                
Pavarde759  Vardas759   5.76                
Pavarde762  Vardas762   5.72                
Pavarde763  Vardas763   6.40                
Pavarde764  Vardas764   7.12                
Pavarde766  Vardas766   7.28                
Pavarde768  Vardas768   6.72                
Pavarde769  Vardas769   5.84                
Pavarde770  Vardas770   6.92                
Pavarde771  Vardas771   5.44                
Pavarde774  Vardas774   5.88                
Pavarde775  Vardas775   8.16                
Pavarde777  Vardas777   7.48                
Pavarde778  Vardas778   6.68                
Pavarde779  Vardas779   7.60                
Pavarde780  Vardas780   5.32                
Pavarde781  Vardas781   5.88                
Pavarde782  Vardas782   5.44                
Pavarde785  Vardas785   8.16                
Pavarde786  Vardas786   7.08                
Pavarde788  Vardas788   7.64                
Pavarde789  Vardas789   8.16                
Pavarde791  Vardas791   5.60                
Pavarde793  Vardas793   6.12                
Pavarde796  Vardas796   5.84                
Pavarde797  Vardas797   5.12                
Pavarde799  Vardas799   6.52                
Pavarde800  Vardas800   5.12                
Pavarde802  Vardas802   5.64                
Pavarde803  Vardas803   5.52                
Pavarde806  Vardas806   7.44                
Pavarde807  Vardas807   7.48                
Pavarde808  Vardas808   8.32                
Pavarde810  Vardas810   5.24                
Pavarde812  Vardas812   7.40                
Pavarde813  Vardas813   6.24                
Pavarde815  Vardas815   7.80                
Pavarde816  Vardas816   8.24                
Pavarde817  Vardas817   6.20                
Pavarde820  Vardas820   5.64                
Pavarde828  Vardas828   6.56                
Pavarde831  Vardas831   5.40                
Pavarde834  Vardas834   5.20                
Pavarde836  Vardas836   7.28                
Pavarde839  Vardas839   6.76                
Pavarde840  Vardas840   8.20                
Pavarde841  Vardas841   9.68                
Pavarde842  Vardas842   8.64                
Pavarde843  Vardas843   5.60                
Pavarde844  Vardas844   7.16                
Pavarde845  Vardas845   6.48                
Pavarde846  Vardas846   8.28                
Pavarde847  Vardas847   5.16                
Pavarde852  Vardas852   6.76                
Pavarde857  Vardas857   8.40                
Pavarde859  Vardas859   8.32                
Pavarde860  Vardas860   7.40                
Pavarde861  Vardas861   5.00                
Pavarde863  Vardas863   6.92                
Pavarde865  Vardas865   8.24                
Pavarde867  Vardas867   5.88                
Pavarde869  Vardas869   6.28                
Pavarde870  Vardas870   7.96                
Pavarde873  Vardas873   6.60                
Pavarde874  Vardas874   6.28                
Pavarde875  Vardas875   6.04                
Pavarde876  Vardas876   7.00                
Pavarde877  Vardas877   5.84                
Pavarde879  Vardas879   8.80                
Pavarde881  Vardas881   5.64                
Pavarde883  Vardas883   5.32                
Pavarde884  Vardas884   8.08                
Pavarde885  Vardas885   5.52                
Pavarde886  Vardas886   5.92                
Pavarde888  Vardas888   7.80                
Pavarde890  Vardas890   5.64                
Pavarde891  Vardas891   7.24                
Pavarde895  Vardas895   7.28                
Pavarde896  Vardas896   6.08                
Pavarde897  Vardas897   5.80                
Pavarde898  Vardas898   7.36                
Pavarde901  Vardas901   5.16                
Pavarde902  Vardas902   8.52                
Pavarde903  Vardas903   8.60                
Pavarde905  Vardas905   7.88                
Pavarde907  Vardas907   5.56                
Pavarde908  Vardas908   7.12                
Pavarde910  Vardas910   5.48                
Pavarde911  Vardas911   5.56                
Pavarde912  Vardas912   7.00                
Pavarde913  Vardas913   5.76                
Pavarde916  Vardas916   5.68                
Pavarde917  Vardas917   6.44                
Pavarde918  Vardas918   7.48                
Pavarde920  Vardas920   8.40                
Pavarde923  Vardas923   8.36                
Pavarde926  Vardas926   7.12                
Pavarde928  Vardas928   5.04                
Pavarde929  Vardas929   8.16                
Pavarde931  Vardas931   5.56                
Pavarde932  Vardas932   7.08                
Pavarde933  Vardas933   8.56                
Pavarde934  Vardas934   6.28                
Pavarde935  Vardas935   5.80                
Pavarde936  Vardas936   5.72                
Pavarde937  Vardas937   6.68                
Pavarde938  Vardas938   7.28                
Pavarde939  Vardas939   7.44                
Pavarde940  Vardas940   6.40                
Pavarde941  Vardas941   5.72                
Pavarde946  Vardas946   8.64                
Pavarde947  Vardas947   6.60                
Pavarde948  Vardas948   8.48                
Pavarde949  Vardas949   8.40                
Pavarde951  Vardas951   5.64                
Pavarde952  Vardas952   5.64                
Pavarde954  Vardas954   5.48                
Pavarde956  Vardas956   6.80                
Pavarde957  Vardas957   6.84                
Pavarde959  Vardas959   8.12                
Pavarde961  Vardas961   6.76                
Pavarde964  Vardas964   7.52                
Pavarde965  Vardas965   6.36                
Pavarde966  Vardas966   5.28                
Pavarde971  Vardas971   8.36                
Pavarde972  Vardas972   5.72                
Pavarde973  Vardas973   5.32                
Pavarde976  Vardas976   7.32                
Pavarde978  Vardas978   7.72                
Pavarde979  Vardas979   5.24                
Pavarde980  Vardas980   5.48                
Pavarde981  Vardas981   5.32                
Pavarde982  Vardas982   8.32                
Pavarde986  Vardas986   5.80                
Pavarde987  Vardas987   7.04                
Pavarde988  Vardas988   6.32                
Pavarde989  Vardas989   8.88                
Pavarde992  Vardas992   7.72                
Pavarde993  Vardas993   8.40                
Pavarde997  Vardas997   7.56                
Pavarde998  Vardas998   5.52                
Pavarde999  Vardas999   5.80                
