Vardas     Pavarde     ND1  ND2  ND3  ND4  ND5  Egzaminas
Vardas75     Pavarde75     1  10  3  3  9  3
Vardas76     Pavarde76     4  2  9  6  10  1
Vardas77     Pavarde77     4  9  8  6  1  4
Vardas78     Pavarde78     6  3  3  5  8  10
Vardas79     Pavarde79     4  8  4  4  1  1
Vardas80     Pavarde80     9  9  3  6  10  9
Vardas81     Pavarde81     4  5  7  4  10  10
Vardas82     Pavarde82     5  3  3  4  1  9
Vardas83     Pavarde83     6  6  8  3  4  5
Vardas84     Pavarde84     10  8  5  4  1  4
Vardas85     Pavarde85     7  10  4  8  5  7
Vardas86     Pavarde86     1  6  1  5  10  2
Vardas87     Pavarde87     9  7  3  5  5  9
Vardas88     Pavarde88     5  1  8  6  1  1
Vardas89     Pavarde89     8  4  5  3  5  9
Vardas90     Pavarde90     2  10  9  4  4  8
Vardas91     Pavarde91     6  3  4  5  5  9
Vardas92     Pavarde92     3  9  10  1  2  6
Vardas93     Pavarde93     10  6  8  9  2  6
Vardas94     Pavarde94     3  1  6  3  10  5
Vardas95     Pavarde95     6  10  8  8  1  4
Vardas96     Pavarde96     4  3  4  2  4  7
Vardas97     Pavarde97     7  4  4  10  4  3
Vardas98     Pavarde98     7  10  8  4  7  9
Vardas99     Pavarde99     1  4  8  8  8  10
Vardas100     Pavarde100     4  4  1  9  2  2
Vardas101     Pavarde101     6  3  2  9  6  2
Vardas102     Pavarde102     4  3  8  1  1  3
Vardas103     Pavarde103     8  9  2  7  4  6
Vardas104     Pavarde104     6  1  6  5  1  4
Vardas105     Pavarde105     1  4  3  3  8  5
Vardas106     Pavarde106     10  8  7  9  4  4
Vardas107     Pavarde107     8  3  10  8  7  10
Vardas108     Pavarde108     7  2  8  8  2  1
Vardas109     Pavarde109     4  2  5  6  4  2
Vardas110     Pavarde110     2  6  1  4  4  9
Vardas111     Pavarde111     9  5  9  8  7  6
Vardas112     Pavarde112     6  1  5  6  1  2
Vardas113     Pavarde113     5  9  8  3  6  3
Vardas114     Pavarde114     3  5  7  9  10  10
Vardas115     Pavarde115     2  5  2  10  6  6
Vardas116     Pavarde116     5  8  7  7  5  3
Vardas117     Pavarde117     5  1  6  7  1  8
Vardas118     Pavarde118     7  1  9  4  9  3
Vardas119     Pavarde119     5  7  8  3  3  8
Vardas120     Pavarde120     7  3  1  7  6  2
Vardas121     Pavarde121     2  9  1  8  5  1
Vardas122     Pavarde122     8  2  3  9  10  9
Vardas123     Pavarde123     9  6  2  7  7  8
Vardas124     Pavarde124     7  10  9  8  3  5
Vardas125     Pavarde125     8  7  2  10  5  1
Vardas126     Pavarde126     6  7  7  9  10  5
Vardas127     Pavarde127     5  2  2  9  6  3
Vardas128     Pavarde128     4  9  2  8  2  3
Vardas129     Pavarde129     4  1  4  8  5  6
Vardas130     Pavarde130     4  8  7  2  1  3
Vardas131     Pavarde131     7  3  2  3  2  3
Vardas132     Pavarde132     2  7  3  7  7  2
Vardas133     Pavarde133     6  4  5  3  1  2
Vardas134     Pavarde134     7  5  7  5  8  10
Vardas135     Pavarde135     4  5  1  5  7  5
Vardas136     Pavarde136     1  7  5  4  6  3
Vardas137     Pavarde137     4  2  7  8  6  5
Vardas138     Pavarde138     9  6  8  10  9  2
Vardas139     Pavarde139     5  1  1  7  7  6
Vardas140     Pavarde140     1  9  7  7  4  2
Vardas141     Pavarde141     10  9  10  6  10  7
Vardas142     Pavarde142     6  9  8  8  5  4
Vardas143     Pavarde143     6  7  2  1  10  7
Vardas144     Pavarde144     1  3  6  6  6  1
Vardas145     Pavarde145     1  9  9  5  9  6
Vardas146     Pavarde146     4  1  10  2  1  4
Vardas147     Pavarde147     2  8  3  3  2  10
Vardas148     Pavarde148     4  5  2  9  6  1
Vardas149     Pavarde149     5  2  8  1  1  8
Vardas150     Pavarde150     4  7  9  6  1  6
Vardas151     Pavarde151     9  9  3  1  10  6
Vardas152     Pavarde152     9  6  8  4  6  8
Vardas153     Pavarde153     7  3  8  7  1  7
Vardas154     Pavarde154     10  7  10  4  8  8
Vardas155     Pavarde155     8  3  8  6  3  9
Vardas156     Pavarde156     2  4  2  5  10  4
Vardas157     Pavarde157     2  2  4  8  7  8
Vardas158     Pavarde158     5  10  8  5  4  2
Vardas159     Pavarde159     10  6  2  5  5  7
Vardas160     Pavarde160     1  8  2  7  2  5
Vardas161     Pavarde161     4  2  4  3  6  5
Vardas162     Pavarde162     5  8  3  1  10  6
Vardas163     Pavarde163     3  10  1  5  8  4
Vardas164     Pavarde164     8  7  2  5  5  5
Vardas165     Pavarde165     3  6  7  3  3  2
Vardas166     Pavarde166     4  9  4  6  2  5
Vardas167     Pavarde167     10  3  3  5  4  9
Vardas168     Pavarde168     10  1  1  2  4  5
Vardas169     Pavarde169     10  1  4  1  2  10
Vardas170     Pavarde170     6  2  8  7  2  5
Vardas171     Pavarde171     10  9  10  8  8  2
Vardas172     Pavarde172     4  10  3  9  8  6
Vardas173     Pavarde173     4  8  1  6  7  1
Vardas174     Pavarde174     10  7  4  5  2  6
Vardas175     Pavarde175     9  4  8  2  7  5
Vardas176     Pavarde176     7  10  2  7  2  4
Vardas177     Pavarde177     5  3  8  8  2  2
Vardas178     Pavarde178     6  6  2  5  1  2
Vardas179     Pavarde179     4  8  3  10  7  3
Vardas180     Pavarde180     6  2  2  8  6  4
Vardas181     Pavarde181     4  9  2  4  9  1
Vardas182     Pavarde182     6  6  2  9  10  9
Vardas183     Pavarde183     2  7  6  1  1  6
Vardas184     Pavarde184     1  9  2  2  2  6
Vardas185     Pavarde185     1  4  8  6  5  2
Vardas186     Pavarde186     2  10  4  9  1  5
Vardas187     Pavarde187     4  6  2  10  6  4
Vardas188     Pavarde188     10  3  4  9  4  9
Vardas189     Pavarde189     2  1  9  1  6  8
Vardas190     Pavarde190     1  1  3  2  8  4
Vardas191     Pavarde191     3  9  3  8  6  2
Vardas192     Pavarde192     6  1  5  4  9  6
Vardas193     Pavarde193     10  7  5  1  3  7
Vardas194     Pavarde194     3  10  3  6  1  10
Vardas195     Pavarde195     5  6  3  8  9  7
Vardas196     Pavarde196     2  4  10  8  2  7
Vardas197     Pavarde197     5  3  7  9  7  4
Vardas198     Pavarde198     3  9  10  9  9  6
Vardas199     Pavarde199     2  9  5  7  3  4
Vardas200     Pavarde200     9  8  1  2  8  7
Vardas201     Pavarde201     6  2  1  10  10  9
Vardas202     Pavarde202     3  1  10  5  6  6
Vardas203     Pavarde203     8  5  4  1  7  1
Vardas204     Pavarde204     9  8  9  7  5  1
Vardas205     Pavarde205     3  8  9  6  6  3
Vardas206     Pavarde206     1  8  9  6  3  7
Vardas207     Pavarde207     4  2  9  8  4  8
Vardas208     Pavarde208     7  9  3  2  7  5
Vardas209     Pavarde209     5  9  6  1  7  2
Vardas210     Pavarde210     7  1  6  2  7  2
Vardas211     Pavarde211     5  6  6  4  6  9
Vardas212     Pavarde212     6  8  5  4  8  3
Vardas213     Pavarde213     10  8  8  8  3  7
Vardas214     Pavarde214     5  5  3  5  2  4
Vardas215     Pavarde215     4  7  9  6  9  10
Vardas216     Pavarde216     4  4  10  5  9  3
Vardas217     Pavarde217     1  2  8  5  3  6
Vardas218     Pavarde218     6  1  4  4  1  3
Vardas219     Pavarde219     1  3  1  5  5  9
Vardas220     Pavarde220     7  1  6  2  7  3
Vardas221     Pavarde221     7  2  8  2  10  5
Vardas222     Pavarde222     7  1  5  2  9  8
Vardas223     Pavarde223     5  3  3  1  5  9
Vardas224     Pavarde224     9  1  4  6  4  10
Vardas225     Pavarde225     4  5  7  6  4  10
Vardas226     Pavarde226     7  5  7  5  4  5
Vardas227     Pavarde227     10  1  9  5  6  7
Vardas228     Pavarde228     3  5  1  1  2  1
Vardas229     Pavarde229     8  3  10  1  8  6
Vardas230     Pavarde230     4  4  7  1  8  2
Vardas231     Pavarde231     3  1  4  7  9  5
Vardas232     Pavarde232     5  1  1  7  7  2
Vardas233     Pavarde233     5  8  4  3  1  3
Vardas234     Pavarde234     3  3  8  9  7  6
Vardas235     Pavarde235     4  5  7  3  4  6
Vardas236     Pavarde236     5  1  5  2  6  2
Vardas237     Pavarde237     6  2  3  2  6  3
Vardas238     Pavarde238     4  2  9  10  7  4
Vardas239     Pavarde239     6  10  9  1  8  10
Vardas240     Pavarde240     3  2  6  8  8  10
Vardas241     Pavarde241     6  5  5  7  9  4
Vardas242     Pavarde242     4  10  6  3  6  4
Vardas243     Pavarde243     2  8  2  9  1  9
Vardas244     Pavarde244     7  4  7  6  1  9
Vardas245     Pavarde245     5  2  4  9  5  9
Vardas246     Pavarde246     9  5  5  1  6  7
Vardas247     Pavarde247     9  7  8  3  6  1
Vardas248     Pavarde248     4  3  4  9  9  7
Vardas249     Pavarde249     6  4  6  1  5  2
Vardas250     Pavarde250     9  8  6  2  4  3
Vardas251     Pavarde251     3  2  1  10  10  4
Vardas252     Pavarde252     1  1  10  6  5  10
Vardas253     Pavarde253     2  8  5  6  7  1
Vardas254     Pavarde254     1  8  1  7  3  7
Vardas255     Pavarde255     7  8  8  4  9  5
Vardas256     Pavarde256     4  8  7  10  9  2
Vardas257     Pavarde257     1  5  10  6  4  2
Vardas258     Pavarde258     5  3  1  2  2  6
Vardas259     Pavarde259     9  5  6  7  9  7
Vardas260     Pavarde260     8  3  3  9  5  9
Vardas261     Pavarde261     9  1  10  2  10  10
Vardas262     Pavarde262     3  8  3  10  3  8
Vardas263     Pavarde263     4  2  6  4  4  4
Vardas264     Pavarde264     4  2  7  9  4  7
Vardas265     Pavarde265     1  7  7  6  7  10
Vardas266     Pavarde266     3  1  9  9  5  1
Vardas267     Pavarde267     6  6  3  4  7  4
Vardas268     Pavarde268     2  1  1  8  5  6
Vardas269     Pavarde269     5  8  1  10  10  5
Vardas270     Pavarde270     9  4  7  3  2  9
Vardas271     Pavarde271     8  1  5  9  4  10
Vardas272     Pavarde272     1  9  4  4  6  10
Vardas273     Pavarde273     4  6  9  10  8  10
Vardas274     Pavarde274     4  9  9  6  4  6
Vardas275     Pavarde275     3  4  1  2  10  4
Vardas276     Pavarde276     2  10  6  6  5  4
Vardas277     Pavarde277     7  8  7  8  8  9
Vardas278     Pavarde278     10  10  1  10  8  3
Vardas279     Pavarde279     2  5  8  7  4  8
Vardas280     Pavarde280     5  7  3  3  8  9
Vardas281     Pavarde281     1  8  3  5  2  10
Vardas282     Pavarde282     2  6  9  1  1  1
Vardas283     Pavarde283     5  5  4  6  4  3
Vardas284     Pavarde284     8  3  3  4  7  1
Vardas285     Pavarde285     1  3  8  5  3  1
Vardas286     Pavarde286     7  4  3  8  4  1
Vardas287     Pavarde287     3  1  4  3  1  8
Vardas288     Pavarde288     5  1  9  4  4  10
Vardas289     Pavarde289     4  9  5  2  4  3
Vardas290     Pavarde290     8  6  4  9  7  2
Vardas291     Pavarde291     8  8  4  8  5  1
Vardas292     Pavarde292     10  2  6  9  7  1
Vardas293     Pavarde293     2  2  9  9  3  8
Vardas294     Pavarde294     1  8  3  5  8  2
Vardas295     Pavarde295     9  9  9  6  4  9
Vardas296     Pavarde296     4  1  9  10  9  5
Vardas297     Pavarde297     8  3  9  8  8  8
Vardas298     Pavarde298     7  6  3  10  2  1
Vardas299     Pavarde299     8  4  3  3  4  8
Vardas300     Pavarde300     8  2  10  1  8  5
Vardas301     Pavarde301     4  4  6  6  2  5
Vardas302     Pavarde302     2  5  9  5  8  4
Vardas303     Pavarde303     5  7  4  3  10  10
Vardas304     Pavarde304     4  9  7  9  4  6
Vardas305     Pavarde305     5  10  9  2  2  3
Vardas306     Pavarde306     5  5  2  9  1  10
Vardas307     Pavarde307     4  9  9  10  6  4
Vardas308     Pavarde308     2  10  8  1  4  1
Vardas309     Pavarde309     2  10  10  8  1  5
Vardas310     Pavarde310     7  6  7  8  3  4
Vardas311     Pavarde311     8  10  4  4  6  4
Vardas312     Pavarde312     10  9  5  6  2  9
Vardas313     Pavarde313     2  6  8  2  3  6
Vardas314     Pavarde314     1  6  4  2  7  1
Vardas315     Pavarde315     8  6  6  5  7  7
Vardas316     Pavarde316     9  2  3  3  6  1
Vardas317     Pavarde317     9  2  2  7  5  5
Vardas318     Pavarde318     7  9  7  6  3  1
Vardas319     Pavarde319     3  4  3  6  1  5
Vardas320     Pavarde320     1  7  7  10  8  8
Vardas321     Pavarde321     5  7  8  1  6  10
Vardas322     Pavarde322     5  7  3  10  7  7
Vardas323     Pavarde323     3  1  1  9  2  1
Vardas324     Pavarde324     3  2  10  7  1  8
Vardas325     Pavarde325     8  1  10  4  4  6
Vardas326     Pavarde326     3  1  4  1  6  2
Vardas327     Pavarde327     3  8  3  4  7  2
Vardas328     Pavarde328     5  5  4  7  6  5
Vardas329     Pavarde329     5  7  5  9  1  9
Vardas330     Pavarde330     3  2  6  4  2  2
Vardas331     Pavarde331     8  6  6  8  2  6
Vardas332     Pavarde332     8  3  8  1  1  10
Vardas333     Pavarde333     8  8  2  9  8  5
Vardas334     Pavarde334     8  7  2  5  5  4
Vardas335     Pavarde335     9  10  5  2  2  8
Vardas336     Pavarde336     3  5  3  6  5  8
Vardas337     Pavarde337     2  8  8  2  8  2
Vardas338     Pavarde338     1  8  5  3  8  2
Vardas339     Pavarde339     4  2  3  3  1  6
Vardas340     Pavarde340     5  5  1  4  7  3
Vardas341     Pavarde341     2  10  1  1  6  5
Vardas342     Pavarde342     8  7  2  1  8  10
Vardas343     Pavarde343     3  2  10  8  7  2
Vardas344     Pavarde344     6  9  2  8  3  1
Vardas345     Pavarde345     9  4  7  5  6  7
Vardas346     Pavarde346     5  7  3  6  4  4
Vardas347     Pavarde347     8  10  3  7  9  8
Vardas348     Pavarde348     6  9  6  5  3  2
Vardas349     Pavarde349     3  7  8  1  1  9
Vardas350     Pavarde350     2  2  8  9  3  10
Vardas351     Pavarde351     2  7  7  9  7  4
Vardas352     Pavarde352     7  2  5  1  2  2
Vardas353     Pavarde353     8  8  4  7  10  4
Vardas354     Pavarde354     6  1  6  9  5  10
Vardas355     Pavarde355     7  5  10  4  4  4
Vardas356     Pavarde356     9  2  2  4  1  5
Vardas357     Pavarde357     8  4  6  9  6  9
Vardas358     Pavarde358     8  3  8  6  6  5
Vardas359     Pavarde359     5  5  10  1  5  7
Vardas360     Pavarde360     9  6  1  7  3  7
Vardas361     Pavarde361     1  8  1  2  3  4
Vardas362     Pavarde362     8  7  1  5  5  5
Vardas363     Pavarde363     3  8  2  9  4  10
Vardas364     Pavarde364     6  5  9  5  5  1
Vardas365     Pavarde365     4  4  3  3  2  3
Vardas366     Pavarde366     2  3  6  2  7  4
Vardas367     Pavarde367     8  3  7  4  7  8
Vardas368     Pavarde368     10  7  5  7  4  10
Vardas369     Pavarde369     8  3  9  7  3  9
Vardas370     Pavarde370     6  5  8  6  9  3
Vardas371     Pavarde371     10  1  7  9  6  2
Vardas372     Pavarde372     8  3  10  10  4  10
Vardas373     Pavarde373     6  8  5  2  6  3
Vardas374     Pavarde374     9  4  3  2  5  2
Vardas375     Pavarde375     3  8  1  7  5  3
Vardas376     Pavarde376     5  1  3  4  3  10
Vardas377     Pavarde377     6  2  10  9  2  2
Vardas378     Pavarde378     2  8  6  5  4  9
Vardas379     Pavarde379     7  2  7  7  3  1
Vardas380     Pavarde380     1  6  6  2  1  8
Vardas381     Pavarde381     5  6  6  5  2  1
Vardas382     Pavarde382     5  4  9  6  2  6
Vardas383     Pavarde383     7  8  7  8  10  5
Vardas384     Pavarde384     5  6  1  7  6  8
Vardas385     Pavarde385     8  1  2  7  7  9
Vardas386     Pavarde386     3  4  10  10  4  5
Vardas387     Pavarde387     9  8  5  5  3  2
Vardas388     Pavarde388     5  3  10  10  9  6
Vardas389     Pavarde389     4  7  1  1  1  9
Vardas390     Pavarde390     2  8  7  10  4  8
Vardas391     Pavarde391     2  5  2  1  8  10
Vardas392     Pavarde392     6  1  3  6  5  1
Vardas393     Pavarde393     2  8  3  6  6  10
Vardas394     Pavarde394     4  7  5  4  4  5
Vardas395     Pavarde395     6  6  3  5  3  7
Vardas396     Pavarde396     7  2  5  2  9  8
Vardas397     Pavarde397     2  10  7  8  9  4
Vardas398     Pavarde398     4  7  7  4  8  6
Vardas399     Pavarde399     1  9  9  1  10  6
Vardas400     Pavarde400     1  5  6  9  10  1
Vardas401     Pavarde401     1  5  4  5  8  2
Vardas402     Pavarde402     8  7  3  10  5  2
Vardas403     Pavarde403     10  4  2  5  8  10
Vardas404     Pavarde404     7  9  4  4  8  2
Vardas405     Pavarde405     2  6  7  2  8  5
Vardas406     Pavarde406     7  4  10  10  2  9
Vardas407     Pavarde407     5  4  2  6  6  8
Vardas408     Pavarde408     3  5  9  7  10  7
Vardas409     Pavarde409     4  8  7  5  8  8
Vardas410     Pavarde410     2  2  6  7  2  6
Vardas411     Pavarde411     2  4  1  2  6  6
Vardas412     Pavarde412     1  5  3  5  5  4
Vardas413     Pavarde413     3  10  10  1  9  9
Vardas414     Pavarde414     4  6  8  9  4  1
Vardas415     Pavarde415     2  7  4  2  9  7
Vardas416     Pavarde416     6  5  1  9  3  10
Vardas417     Pavarde417     5  8  10  1  8  8
Vardas418     Pavarde418     10  5  3  2  1  4
Vardas419     Pavarde419     9  3  1  5  1  8
Vardas420     Pavarde420     9  9  9  1  10  7
Vardas421     Pavarde421     8  7  9  5  5  2
Vardas422     Pavarde422     5  7  2  7  1  9
Vardas423     Pavarde423     5  7  1  8  5  4
Vardas424     Pavarde424     9  9  2  6  3  8
Vardas425     Pavarde425     4  2  2  5  4  10
Vardas426     Pavarde426     2  3  9  8  5  10
Vardas427     Pavarde427     5  8  8  5  9  2
Vardas428     Pavarde428     8  5  2  8  5  7
Vardas429     Pavarde429     8  4  2  9  6  4
Vardas430     Pavarde430     4  9  10  1  3  2
Vardas431     Pavarde431     8  6  8  10  7  10
Vardas432     Pavarde432     9  8  10  2  9  4
Vardas433     Pavarde433     1  10  5  2  9  6
Vardas434     Pavarde434     3  8  9  2  9  7
Vardas435     Pavarde435     10  6  10  3  9  9
Vardas436     Pavarde436     6  10  7  9  10  8
Vardas437     Pavarde437     8  8  5  5  6  2
Vardas438     Pavarde438     3  7  9  3  2  9
Vardas439     Pavarde439     9  2  7  10  5  1
Vardas440     Pavarde440     4  1  9  2  7  4
Vardas441     Pavarde441     8  1  5  9  6  9
Vardas442     Pavarde442     2  4  6  5  3  5
Vardas443     Pavarde443     2  1  7  6  4  5
Vardas444     Pavarde444     1  8  3  3  2  1
Vardas445     Pavarde445     1  6  5  9  4  3
Vardas446     Pavarde446     6  6  5  6  8  8
Vardas447     Pavarde447     9  6  8  7  2  5
Vardas448     Pavarde448     10  2  2  9  9  5
Vardas449     Pavarde449     3  7  8  7  1  6
Vardas450     Pavarde450     4  4  3  8  7  6
Vardas451     Pavarde451     6  6  1  5  8  7
Vardas452     Pavarde452     4  10  4  6  7  3
Vardas453     Pavarde453     9  6  3  7  1  1
Vardas454     Pavarde454     4  3  2  6  10  4
Vardas455     Pavarde455     7  3  2  3  4  3
Vardas456     Pavarde456     1  10  2  2  9  6
Vardas457     Pavarde457     2  4  7  7  8  8
Vardas458     Pavarde458     5  8  7  7  5  1
Vardas459     Pavarde459     7  10  10  8  2  9
Vardas460     Pavarde460     3  10  4  8  10  10
Vardas461     Pavarde461     9  1  10  3  5  7
Vardas462     Pavarde462     1  6  4  10  4  9
Vardas463     Pavarde463     2  3  2  4  6  3
Vardas464     Pavarde464     7  9  9  4  3  7
Vardas465     Pavarde465     3  6  6  9  4  10
Vardas466     Pavarde466     3  10  5  3  1  6
Vardas467     Pavarde467     8  9  3  9  7  10
Vardas468     Pavarde468     4  2  8  2  10  2
Vardas469     Pavarde469     5  7  1  3  10  6
Vardas470     Pavarde470     7  2  1  3  2  3
Vardas471     Pavarde471     8  10  2  7  9  2
Vardas472     Pavarde472     2  7  2  8  7  3
Vardas473     Pavarde473     4  2  5  2  2  5
Vardas474     Pavarde474     1  4  4  7  5  9
Vardas475     Pavarde475     3  5  10  1  3  6
Vardas476     Pavarde476     1  1  7  8  8  1
Vardas477     Pavarde477     6  9  5  3  1  6
Vardas478     Pavarde478     7  4  7  5  9  5
Vardas479     Pavarde479     9  10  1  10  6  7
Vardas480     Pavarde480     9  10  7  2  10  1
Vardas481     Pavarde481     10  1  9  1  8  3
Vardas482     Pavarde482     10  1  7  10  1  6
Vardas483     Pavarde483     10  3  7  1  9  3
Vardas484     Pavarde484     4  7  5  10  4  7
Vardas485     Pavarde485     1  3  4  9  2  1
Vardas486     Pavarde486     7  4  9  6  3  2
Vardas487     Pavarde487     10  9  4  1  2  3
Vardas488     Pavarde488     4  4  2  1  2  8
Vardas489     Pavarde489     9  2  10  7  9  8
Vardas490     Pavarde490     8  10  3  5  6  3
Vardas491     Pavarde491     7  8  4  10  9  2
Vardas492     Pavarde492     6  1  8  3  5  7
Vardas493     Pavarde493     6  10  10  4  4  10
Vardas494     Pavarde494     2  7  8  1  8  10
Vardas495     Pavarde495     3  4  4  9  6  9
Vardas496     Pavarde496     7  6  8  6  3  8
Vardas497     Pavarde497     4  2  10  9  1  6
Vardas498     Pavarde498     7  10  3  9  3  4
Vardas499     Pavarde499     1  10  2  1  10  6
Vardas500     Pavarde500     8  9  1  7  8  10
Vardas501     Pavarde501     2  3  3  2  2  6
Vardas502     Pavarde502     9  10  2  9  4  2
Vardas503     Pavarde503     3  6  9  10  4  4
Vardas504     Pavarde504     3  6  3  4  4  2
Vardas505     Pavarde505     1  5  4  10  9  2
Vardas506     Pavarde506     8  4  4  7  8  7
Vardas507     Pavarde507     7  2  9  6  7  3
Vardas508     Pavarde508     10  10  9  10  5  2
Vardas509     Pavarde509     1  1  8  7  1  1
Vardas510     Pavarde510     1  5  9  8  2  8
Vardas511     Pavarde511     5  3  4  9  5  5
Vardas512     Pavarde512     5  9  6  5  9  7
Vardas513     Pavarde513     4  7  2  7  10  7
Vardas514     Pavarde514     1  2  6  10  2  2
Vardas515     Pavarde515     1  9  7  3  4  6
Vardas516     Pavarde516     9  5  10  3  2  3
Vardas517     Pavarde517     5  1  6  4  2  2
Vardas518     Pavarde518     3  6  1  3  4  7
Vardas519     Pavarde519     9  6  9  4  1  9
Vardas520     Pavarde520     8  10  8  3  9  3
Vardas521     Pavarde521     1  4  4  9  9  9
Vardas522     Pavarde522     10  6  3  5  10  4
Vardas523     Pavarde523     1  1  5  3  8  10
Vardas524     Pavarde524     2  6  1  7  10  1
Vardas525     Pavarde525     3  3  8  5  4  6
Vardas526     Pavarde526     9  5  4  2  4  5
Vardas527     Pavarde527     9  7  6  5  7  7
Vardas528     Pavarde528     3  1  10  7  3  2
Vardas529     Pavarde529     7  3  6  10  1  2
Vardas530     Pavarde530     2  5  6  5  10  5
Vardas531     Pavarde531     8  6  8  7  4  7
Vardas532     Pavarde532     2  9  6  8  9  6
Vardas533     Pavarde533     5  6  6  1  3  7
Vardas534     Pavarde534     10  5  4  2  6  4
Vardas535     Pavarde535     2  6  5  7  2  8
Vardas536     Pavarde536     8  6  3  2  4  5
Vardas537     Pavarde537     4  2  2  5  1  9
Vardas538     Pavarde538     1  3  6  5  7  9
Vardas539     Pavarde539     1  7  2  4  6  6
Vardas540     Pavarde540     10  5  1  4  6  1
Vardas541     Pavarde541     2  6  6  8  8  2
Vardas542     Pavarde542     4  3  5  7  4  3
Vardas543     Pavarde543     9  4  7  9  3  4
Vardas544     Pavarde544     2  6  2  9  5  3
Vardas545     Pavarde545     1  7  5  7  7  6
Vardas546     Pavarde546     1  9  2  1  10  8
Vardas547     Pavarde547     2  1  4  5  8  7
Vardas548     Pavarde548     3  6  1  8  9  5
Vardas549     Pavarde549     4  8  3  9  5  4
Vardas550     Pavarde550     7  6  6  4  3  2
Vardas551     Pavarde551     6  5  3  8  9  10
Vardas552     Pavarde552     8  4  1  6  4  1
Vardas553     Pavarde553     10  2  7  3  10  1
Vardas554     Pavarde554     4  3  8  10  7  4
Vardas555     Pavarde555     5  1  2  3  8  4
Vardas556     Pavarde556     8  3  5  4  5  8
